ra,dec,pmra,pmdec,l,b,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel,GalTotalVel,group_id
189.688779261,17.6916574344,-23.4387940316,-32.8996257135,285.046695777,80.1201293259,19.32552,0.02756436,18.39603,0.03691056,18.0423,0.02665779,17.88144,0.02348603,17.78646,0.02389437,6.792037,6.62992,4.363946,0.2809322,5955.734,32.02429,-2.024802,0.05078248,8.19374577633,6.21784994025,3.20614104882,8.79868230317,8.17626363354,-0.534960598562,3.20614104882,33.0617604917,-357.448678586,-84.2969079497,56.3286489012,-354.527461761,-84.2969079497,368.739212072,S1
193.810242557,29.048708163,-17.446846526,-32.6735722576,99.5604484716,87.9043891616,18.37352,0.01929612,17.54446,0.03133991,17.27544,0.01640433,17.17852,0.01338872,17.14789,0.02786998,-111.2181,3.154461,4.094468,0.2139819,6289.604,28.66637,-2.103501,0.001496957,8.34080671358,0.0145273230975,3.38397150379,9.00112880542,8.33992659414,0.121165332066,3.38397150379,-64.2092542567,-338.921299744,-80.5001641427,-69.1259249605,-337.952781096,-80.5001641427,354.218509087,S1
194.122672576,23.100519294,-31.4290248701,-26.1672284662,319.057050719,85.8131234517,17.43866,0.04448524,16.64038,0.0312564,16.40493,0.02218567,16.32365,0.013775,16.2901,0.02083543,-27.73101,2.872945,3.595009,0.1676093,6322.726,30.11594,-2.063044,0.06052217,8.16608740148,6.26658819611,2.85063952102,8.64934269915,8.16496269536,-0.135527237264,2.85063952102,150.801858051,-271.944239898,-34.2868653393,155.294369819,-269.40402504,-34.2868653393,312.842546883,S1
213.724087337,47.5455144134,-16.173524262,-19.2170788926,89.849649156,63.8681417006,19.54252,0.02975221,18.71028,0.02615501,18.38199,0.01466902,18.25749,0.02042485,18.19813,0.03264507,-313.6504,6.85497,4.013291,0.2090176,6113.916,57.49714,-2.077373,0.04427347,8.52419128243,0.223032802615,3.86925400937,9.36124797281,8.3130565678,1.88545154276,3.86925400937,-60.6459701962,-341.231727563,-49.159197221,-134.620309423,-319.365617886,-49.159197221,350.048071367,S1
174.635659223,0.8799112371,-14.769584045,-29.4217976919,266.224351545,58.4573396934,18.9501,0.03941924,18.04599,0.01947428,17.7047,0.01390147,17.59579,0.01146221,17.55157,0.01905863,205.3148,8.113049,4.085158,0.6118221,6150.751,84.49497,-1.751922,0.05619388,8.64118400905,6.06820013062,3.03611180924,9.159041216,8.44226012202,-1.84344924267,3.03611180924,-23.9716727019,-324.979218155,-102.759803214,45.9089398708,-322.612000032,-102.759803214,341.680714237,S1
214.155892877,58.87523315,-29.7645470844,-33.5849333635,103.835706467,54.981398402,18.38893,0.02120665,17.45407,0.01391284,17.06009,0.01877705,16.90563,0.01285233,16.85033,0.02050639,-402.9581,3.888258,3.98171,0.07616713,5734.67,22.44861,-2.182033,0.01479483,8.62772713981,0.11547648227,1.48787324506,8.75508094722,8.57026644933,0.994086810361,1.48787324506,-91.6687601799,-283.191580137,-104.91861958,-123.687582737,-270.743447806,-104.91861958,315.608221357,S1
243.552079346,51.0977403852,-18.101710007,-4.1554514831,79.3847604155,45.1464463331,20.09743,0.05435646,19.20675,0.01552141,18.76967,0.01588161,18.64901,0.01725503,18.56208,0.03524904,-496.1145,8.300347,4.228171,0.4787354,5741.78,119.9931,-2.105217,0.0498,8.28075797926,0.342415882176,2.86764610974,8.76323838098,7.80002892245,2.78037794556,2.86764610974,98.5624464846,-338.269897451,-93.0180332696,-20.7382258607,-351.725753062,-93.0180332696,364.408334004,S1
173.844191743,13.4436319386,-20.9830222823,-34.6545266022,246.761334325,67.5747822823,19.47236,0.03206716,18.51022,0.03263976,18.12745,0.01792563,17.91463,0.01770263,17.86668,0.02456927,106.2336,4.591836,4.092035,0.1082004,5755.903,30.28185,-1.863657,0.03854522,8.83052616833,6.16491476775,2.77513504853,9.25632578008,8.76883777734,-1.0419579858,2.77513504853,39.8787928834,-316.102423998,-99.1256325972,76.8987144846,-309.188693664,-99.1256325972,333.671922128,S1
193.140820762,8.9422270865,-25.191514937,-27.2402278711,303.822333634,71.8120302737,21.14028,0.1088338,19.85037,0.02227286,19.29849,0.0249524,19.06102,0.02379071,18.9836,0.04489074,104.7366,5.493833,3.877124,0.6062673,5294.791,39.56374,-2.149147,0.0467248,7.79532121126,6.17349096557,3.15074811303,8.40798706341,7.74846826086,-0.853388772598,3.15074811303,81.9133065401,-328.039937954,-21.8279646036,117.332978474,-317.100871717,-21.8279646036,338.816249197,S1
193.043544414,18.5521286132,-86.2841994798,-228.107976756,304.101932684,81.4222047947,16.21045,0.02066707,15.13913,0.02498952,14.66311,0.02480926,14.44996,0.01700336,14.34754,0.01351253,-54.8,14.5,4.15,0.27,5475.0,187.0,-1.87,0.17,8.28821137094,6.27596677507,0.50487518149,8.30357433147,8.28799543411,-0.0598282003156,0.50487518149,-120.498403478,-283.441481051,-122.782565522,-118.449250411,-284.303910451,-122.782565522,331.563714566,S1
