group_id,ra,dec,pmra_new,pmdec_new,phot_g_mean_mag,l,b,objid,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,X,Y,Z,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,pml,pmb,U,V,W,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel
NCand0,179.16132196,12.8803740546,-21.9907018747,1.1906325275,17.5565680903,258.255924204,70.8325104438,1.23766181335E+018,19.04602,0.02710347,17.9849,0.01895828,17.60964,0.01750573,17.49715,0.01388811,17.40362,0.02790832,0.1507715,0.1109362,0.08046021,0.06101054,0.04325723,212.3103,2.175381,4.355418,0.09849137,6004.018,35.63469,-1.0897,0.03223648,3691.92234407,-0.2467260375,-1.1867966335,3.4872525873,8.6476647952,6.1455118362,3.5140056902,9.3343635242,8.5658403068,-1.1867966335,3.5140056902,-17.6264893817,-13.2028575253,-360.644335059,-219.149108687,124.673323023,350.653443812,33.0508913131,135.098370838,342.799679031,80.8614811273,135.098370838
NCand0,194.572709662,46.9683151068,-19.9508739595,2.7521160027,17.0383842758,119.493291395,70.1141552573,1.23766143431E+018,18.31966,0.01617231,17.37093,0.02007701,17.12657,0.01568857,17.01181,0.01655291,16.9821,0.01646935,0.07102606,0.0522603,0.03790353,0.0287411,0.0203778,98.20404,2.743034,3.849942,0.1363151,6313.526,35.73094,-1.256497,0.0337288,3932.0309812,-0.6584651755,1.1641512778,3.6975725892,9.0520913885,0.1289629567,3.7256098015,9.7887959882,8.9769209815,1.1641512778,3.7256098015,20.1050233405,-1.1830260858,-352.842745049,-137.373736544,84.8476861707,342.976196908,114.826263456,95.2485773964,354.895374077,69.7640013385,95.2485773964
NCand0,140.528392425,21.9029592177,10.4773370586,-10.3458711894,17.8299789315,207.219879969,42.4316104519,1.23766725346E+018,19.26747,0.02539129,18.26759,0.02138792,17.90327,0.01654416,17.75846,0.01787104,17.70672,0.02072981,0.1928408,0.1418904,0.1029108,0.07803413,0.05532717,-182.5523,3.433015,3.94454,0.1207902,6013.222,34.70201,-1.141883,0.03902844,4026.57308628,-2.6428259188,-1.3593874187,2.7167679011,11.0482822465,6.1598321083,2.7510035438,11.3856295872,10.964333379,-1.3593874187,2.7510035438,13.0003975055,6.913848943,312.503847327,-118.310282483,-25.7645933148,-322.021907795,133.889717517,-17.4398652272,-336.048941096,93.2506018479,-17.4398652272
NCand0,119.51609074,18.4444895393,4.7309189465,-13.2381825645,18.6368361636,203.094512214,22.7222423864,1.23767437075E+018,20.47276,0.05300569,19.23024,0.01655803,18.7115,0.01124057,18.52562,0.01384625,18.42246,0.0282662,0.1662278,0.1223088,0.08870854,0.067265,0.04769173,-251.676,3.19387,4.280143,0.06767287,5522.646,60.37728,-1.300167,0.0886525,3551.17105589,-3.0130520282,-1.2848345202,1.3716900523,11.4113183757,6.1703530504,1.407087809,11.4977425251,11.3387559867,-1.2848345202,1.407087809,14.041841969,-0.6765691451,302.213206767,-128.107256967,-107.71896819,-311.475518638,124.092743033,-99.3617214078,-323.46687912,88.2336993237,-99.3617214078
NCand0,179.061912619,13.1666334373,-14.5682499845,1.314503558,18.8757484813,257.463963492,70.9882071037,1.23766195079E+018,20.38561,0.06469508,19.33454,0.0223411,18.89796,0.01663235,18.75813,0.01970131,18.68286,0.03727093,0.1618638,0.1190978,0.08637966,0.06549908,0.04643967,226.2488,4.333823,4.049527,0.1572877,5685.457,80.13367,-1.236578,0.1116093,5120.05455029,-0.3620287425,-1.6281592803,4.8407634879,8.8283523727,6.0976996194,4.8678698844,10.0814663034,8.6769178269,-1.6281592803,4.8678698844,-11.9078663995,-8.4949717496,-340.440664801,-199.504110488,146.739749834,330.380997501,52.6958895124,157.101629794,314.995522147,112.722142052,157.101629794
NCand0,126.023102446,44.4890327289,14.5395435824,-8.5807519239,16.5600133394,175.849229869,34.7004266965,1.23765439057E+018,17.88165,0.01371057,16.92643,0.01659304,16.59989,0.01694728,16.53002,0.01493965,16.48954,0.01867524,0.2337878,0.1720188,0.1247624,0.09460354,0.06707509,-295.1594,2.068788,3.924196,0.1130475,6478.062,65.35538,-1.34349,0.04739451,3047.72413026,-2.4990830702,0.1813624744,1.7350256007,10.8251748364,0.0167545525,1.7688173706,10.9687339803,10.8236554774,0.1813624744,1.7688173706,9.9542041563,13.6360350095,343.476286723,-169.119645033,-6.0614063466,-353.055694566,83.0803549668,2.1665535565,-351.614232662,88.9837077021,2.1665535565
NCand0,173.196613864,61.4482934959,7.4997003722,-7.5699467513,17.818045979,138.518586529,53.2350069396,1.23765536929E+018,19.12225,0.02713496,18.19636,0.01925525,17.89915,0.01881905,17.77875,0.01274614,17.74573,0.02439199,0.06619579,0.04870623,0.03532582,0.0267865,0.01899196,-354.1018,3.35717,4.061126,0.07851656,6170.684,34.57925,-1.360366,0.02848375,4485.812727,-2.0114576413,1.7784244743,3.5935720903,10.4821980406,0.1704860856,3.6258328144,11.0915796603,10.3302314665,1.7784244743,3.6258328144,-2.7059702983,10.3066640692,328.431923746,-213.574427632,-152.48934917,-337.554369101,38.6255723684,-144.213719041,-326.107376417,95.335544191,-144.213719041
NCand0,233.271857757,5.3296678299,-31.1358033298,14.7855250978,16.4357223059,10.7623213069,45.8123108076,1.23766226808E+018,17.78901,0.02011716,16.84262,0.0136909,16.50411,0.0223737,16.38838,0.02412741,16.35978,0.0212531,0.2920201,0.2148656,0.1558384,0.1181676,0.08378229,-144.1393,2.361106,3.831081,0.05845576,6205.871,11.33363,-1.463288,0.0397147,2435.31376269,1.667583066,0.3169720881,1.7462670288,6.6645165965,0.0475791015,1.7670536069,6.8947994833,6.6569745501,0.3169720881,1.7670536069,-5.2302273206,34.0689700987,-364.490784219,-130.7435685,170.785049161,354.35594878,121.4564315,181.221878029,359.731541919,104.465405458,181.221878029
NCand0,19.4458907751,26.1208235038,12.8526359672,0.4049851407,18.4867036666,130.280705767,-36.374708825,1.23766621461E+018,19.85089,0.0324247,18.91357,0.01953317,18.52761,0.02103808,18.39436,0.02032817,18.34948,0.03365399,0.4363413,0.3210557,0.2328564,0.176568,0.1251889,141.5253,5.455663,3.732852,0.1936477,6264.105,31.01877,-2.01965,0.07302102,4976.0353383,-2.5903231555,3.0564901792,-2.9511051189,11.3488578798,0.2726883155,-2.917005741,11.7177428573,10.9295216254,3.0564901792,-2.917005741,12.6975685713,2.031259867,-320.544033942,-85.0399667537,-45.3545632634,311.084034726,167.160033246,-35.0538496271,344.609363008,77.2019449458,-35.0538496271
NCand0,215.330486367,57.9378649195,-68.874527267,24.1523850133,15.1119820379,102.004430108,55.3865500985,1.23765536876E+018,16.45055,0.01285585,15.49193,0.02140013,15.17373,0.01373945,15.04327,0.01592019,15.03009,0.01045317,0.05092556,0.03747054,0.02717676,0.02060732,0.01461084,62.10001,2.108157,4.256057,0.1060548,6058.11,37.10741,-1.195216,0.04800678,1213.18607687,-0.1433312437,0.6740642037,0.9984558383,8.4969929971,0.079413178,1.024898345,8.5585808759,8.470214132,0.6740642037,1.024898345,69.6226591724,21.9025920351,-377.423784842,-150.17664809,122.660357147,367.439094797,102.02335191,133.137787345,374.374570387,72.5529721522,133.137787345
