index,ra,dec,pmra,pmdec,pml,pmb,phot_g_mean_mag,l,b,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,hrv_e,hrv,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,X,Y,Z,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,U,V,W,GalU,GalV,GalW,GalRVel,GalphiVel,GalzVel,JR,Jphi,Jz,E,apocentre,pericentre,eccent,zmax,orb_incl,orb_incl_deg
161,51.07392216,5.22128475,31.63523307,-26.19535475,40.75496852,5.10069825,15.10919651,177.53346710,-40.90959320,16.70636000,0.02215728,15.59649000,0.02575520,15.16750000,0.02408412,14.98774000,0.02083828,14.92007000,0.01740323,1.76918800,137.76830000,3.92045600,0.07576115,6245.29400000,23.41718000,-1.55598500,0.02775828,1086.47983448,-0.82033971,0.03533673,-0.71150018,9.15262469,0.00386084,-0.68293624,9.17806846,9.15255647,0.03533673,-0.68293624,-130.24246089,-204.48977322,-70.36599485,120.86145516,47.71022678,-60.65913499,121.04475548,47.24324558,-60.65913499,610.57811256,432.39969575,55.95901302,-166392.35776600,10.69494831,1.24513345,0.79143636,3.80872132,0.59336731,33.99744238
175,193.77375340,18.62551229,-23.58320523,-32.43156727,-26.57512439,-30.02893418,15.20127787,308.77317843,81.45575437,16.45558000,0.02320309,15.58555000,0.03937626,15.26776000,0.01745122,15.15522000,0.01953707,15.12709000,0.01769402,1.67336700,-66.04540000,4.18660800,0.12038620,6245.07100000,29.49234000,-1.71447300,0.02576372,1261.02486768,0.11732861,-0.14606733,1.24702929,8.21007915,6.26539315,1.27265700,8.30813189,8.20877969,-0.14606733,1.27265700,-18.83133408,-230.23262018,-91.98252464,9.51834127,21.96737982,-82.62329960,9.12600823,22.13324582,-82.62329960,350.13493165,181.71569999,194.40332800,-177570.89590800,8.27243864,1.01174266,0.78205021,5.00718761,1.14367206,65.52758199
181,38.98362190,26.29805366,72.30128931,-18.00245777,72.53755372,17.02551679,14.29174388,150.33840220,-30.95381503,16.17558000,0.01461043,14.95825000,0.01414662,14.37525000,0.01538860,14.11407000,0.01579140,13.97898000,0.01275626,1.38585000,-5.32237100,3.78504800,0.04721874,5736.40200000,34.97971000,-1.43718800,0.03469563,434.11204137,-0.32350356,0.18423591,-0.22328421,8.65615975,0.02128540,-0.19627339,8.65838466,8.65419891,0.18423591,-0.19627339,-85.56585743,-123.05484566,32.78441884,75.86311282,129.14515434,42.35133015,78.59462663,127.50124485,42.35133015,243.66431241,1103.67114371,23.07931262,-168081.95338800,9.38979210,3.20623432,0.49091337,1.09899316,0.21331304,12.22193692
203,37.87643847,0.64058449,22.36295048,-32.01650852,37.52563029,-10.81598093,16.69167866,167.91370850,-53.25858303,18.35586000,0.01821206,17.23371000,0.01585560,16.74456000,0.01762599,16.55396000,0.01484201,16.43683000,0.01506224,1.24553400,-203.80000000,4.40156700,0.08386997,5491.01700000,39.44827000,-1.31489000,0.05342910,1467.99146224,-0.85869336,0.18387302,-1.17636532,9.19419969,0.02000014,-1.14767941,9.26555319,9.19236088,0.18387302,-1.14767941,123.51161502,-293.50721627,118.28808208,-133.48021809,-41.30721627,127.20199733,-134.27961760,-38.62950989,127.20199733,503.91286486,-355.16742780,438.77015365,-157913.77679600,12.10221172,1.80371679,0.74058305,9.27318542,2.08233691,119.30911668
204,124.97181874,40.89633651,16.70979557,-31.77442844,33.92490216,11.74447035,15.34574248,180.03875127,33.48809246,16.70172000,0.01586682,15.76335000,0.01472183,15.40466000,0.01328954,15.25807000,0.01827767,15.18002000,0.01863381,1.82433700,-270.59730000,4.16243400,0.11361790,6154.44100000,40.64552000,-1.58397700,0.06331018,1182.31420516,-0.98605043,-0.00066690,0.65235803,9.31400948,6.28311371,0.68143254,9.33890374,9.31400946,-0.00066690,0.68143254,262.12640759,-189.96250555,-94.40807047,-271.43046115,62.23749445,-85.92576827,-271.43491679,62.21805930,-85.92576827,1408.26746000,579.49959440,97.24819325,-133288.50522600,20.99534089,1.38844797,0.87594165,6.36916075,0.61507296,35.24108469
238,219.27244968,20.33631846,-29.85034638,-16.83110360,-26.34209604,21.91855843,15.18285002,22.92078280,64.94046467,16.35050000,0.02816197,15.59134000,0.02236433,15.25598000,0.01479615,15.14191000,0.02580251,15.11255000,0.02050315,2.17732100,128.93990000,4.12900800,0.11265400,6217.48500000,25.93051000,-2.49419400,0.06383837,1037.05997867,0.40457500,0.17107214,0.93943962,7.92434154,0.02158986,0.96417227,7.98278254,7.92249476,0.17107214,0.96417227,10.83240912,-136.02275740,162.44321516,-20.93937953,116.17724260,171.70861341,-18.42644399,116.60221042,171.70861341,11.53423669,923.99573980,605.73731586,-162000.89421900,8.14866720,5.93517088,0.15716570,6.28302687,0.90271118,51.72154084
245,161.37638027,43.15807852,-5.15271964,-117.42332864,110.89475243,38.95051363,15.13642439,172.45550043,59.94548713,17.38306000,0.01794172,16.02774000,0.01553107,15.22251000,0.01896175,14.96433000,0.01639247,14.81179000,0.02018007,1.53496700,-168.39870000,4.62874000,0.12141280,4861.01600000,55.09641000,-1.91551100,0.11405330,378.49437429,-0.18791799,0.02488837,0.32760554,8.51693091,0.00292223,0.35419048,8.52429252,8.51689454,0.02488837,0.35419048,117.45037268,-216.26488558,-110.75649972,-126.70410370,35.93511442,-101.82255023,-126.59855231,36.30521856,-101.82255023,452.49173894,309.20903804,211.55306436,-167059.54993900,10.28736970,1.24475108,0.78412452,5.55091922,0.96419704,55.24442106
246,253.00619052,40.85940123,-31.64273834,-21.07622707,-23.27355894,30.06346108,15.35525231,64.97455128,39.29918193,16.77044000,0.01978364,15.83849000,0.01565027,15.45607000,0.01955310,15.28401000,0.01729867,15.20341000,0.02125652,2.16697100,-259.50020000,4.40417400,0.05009475,5666.71800000,27.35034000,-2.25090700,0.01842905,852.81695319,0.27917330,0.59799548,0.54014852,8.07132502,0.07415684,0.56527453,8.09109528,8.04914213,0.59799548,0.56527453,-32.25616794,-291.51574069,-70.30661321,22.87545416,-39.31574069,-60.90559171,19.89972478,-40.90250387,-60.90559171,389.50902062,-330.13740292,65.13075491,-180603.33241300,8.12249357,0.90914306,0.79867590,3.51839648,2.43599260,139.57209472
247,149.15605854,0.43010158,0.20372452,-36.71895645,29.72619567,-21.55635771,14.85713597,237.98486173,40.30078114,16.49492000,0.00687143,15.40530000,0.01720438,14.89856000,0.01255866,14.75776000,0.01275880,14.64242000,0.01818855,1.24822800,13.52842000,4.43999400,0.11777450,5536.45100000,28.16936000,-1.43518800,0.03815142,654.04055964,-0.26444092,-0.42294523,0.42303355,8.60352143,6.23400594,0.44985687,8.61527436,8.59311924,-0.42294523,0.44985687,49.76016527,-94.26286116,-42.22187214,-59.22813858,157.93713884,-33.07697956,-66.92064660,154.83455455,-33.07697956,163.35988647,1332.12240841,14.76659603,-165485.84139300,9.29093034,4.16252684,0.38119596,0.86623148,0.16226962,9.29736409
250,180.88057204,-0.89247102,-185.24813846,-18.09150259,-165.76164177,-84.65963257,14.18836149,278.64325095,59.70047939,15.95595000,0.01150079,14.81511000,0.01797097,14.27223000,0.01127745,14.04709000,0.01322694,13.94367000,0.01405640,2.05887600,76.26564000,4.29775100,0.07700861,5331.17500000,37.42365000,-1.53452900,0.03022630,381.74242733,0.02894378,-0.19040956,0.32959632,8.30221141,6.26024850,0.35550438,8.30981935,8.30002762,-0.19040956,0.35550438,-270.90088198,-213.89388043,-11.44647041,261.33528951,38.30611957,-1.30086980,260.38800542,44.28971636,-1.30086980,1221.85912993,367.70258833,5.01059946,-147403.68478200,16.00649077,0.74869058,0.91063175,0.86340920,0.36569241,20.95263175
254,30.88415142,7.30880551,55.29419560,-26.71952251,61.41009281,0.42597086,16.47325614,152.39400732,-51.39125109,18.41025000,0.02324662,17.14525000,0.01768351,16.53141000,0.01921284,16.28606000,0.01326193,16.16607000,0.02375149,1.10984700,195.28780000,4.49918600,0.03626165,5408.27500000,28.05646000,-1.27018400,0.03671719,1097.05330170,-0.60662642,0.31721742,-0.85726509,8.94492576,0.03547083,-0.82936750,8.98329268,8.93929919,0.31721742,-0.82936750,-257.51098673,-225.73752674,-151.22047430,248.38172676,26.46247326,-141.11598583,249.16393780,17.63736883,-141.11598583,1145.12638253,157.76495482,548.12723287,-136521.37927500,19.36449394,1.33296958,0.87119489,17.05860065,1.29987083,74.47711273
257,149.69536763,-1.10911043,-39.90575518,-44.42304541,10.87185872,-58.71693919,14.70267128,240.01577366,39.80725773,16.82614000,0.01685085,15.42905000,0.01809317,14.77168000,0.01283062,14.49205000,0.01480655,14.36073000,0.01741367,1.30799900,214.40200000,4.48524800,0.07703981,5090.14700000,35.20133000,-1.62915800,0.09361003,380.12867159,-0.14593826,-0.25293326,0.24336104,8.47895139,6.25335016,0.26981536,8.48324331,8.47517796,-0.25293326,0.26981536,-99.19694920,-211.12406867,55.98027496,89.42173851,41.07593133,65.58961910,88.15661791,43.72516634,65.58961910,468.11833517,370.74355998,59.99666904,-174254.64936400,9.13610683,1.08245062,0.78814023,3.76270805,0.69423443,39.77670300
273,163.69142759,3.91740053,8.26473449,-45.31439728,38.85890898,-24.73227911,15.49395226,247.61160893,53.75231848,17.81972000,0.01984504,16.28563000,0.01870307,15.58176000,0.01192109,15.27909000,0.00980026,15.14300000,0.01542096,1.11643700,30.97487000,4.64464500,0.08981965,4900.50200000,42.55511000,-2.00414600,0.07990885,472.23312875,-0.10635039,-0.25817385,0.38084116,8.43911120,6.25258799,0.40717125,8.44892811,8.43516118,-0.25817385,0.40717125,56.45030347,-91.35235584,-7.75629817,-66.02581928,160.84764416,1.36754504,-70.91565314,158.75246008,1.36754504,159.88958331,1339.72966373,4.86156890,-166228.39123100,9.16603686,4.16501510,0.37514082,0.45614458,0.09909874,5.67793965
274,217.25522700,28.51126185,-18.00013298,-23.88228094,-24.54048284,17.09189375,16.58676389,42.30516268,68.41651276,18.08370000,0.01521390,17.06470000,0.01639434,16.67917000,0.01883583,16.50317000,0.01651119,16.47035000,0.02098726,1.39828000,72.38936000,4.31582900,0.05617619,5694.54900000,17.01832000,-1.31052900,0.03211160,1783.97012914,0.48533951,0.44170492,1.65888268,7.85191886,0.05628410,1.68335974,8.03033808,7.83948509,0.44170492,1.68335974,59.97699305,-226.03132311,120.48495203,-69.95276254,26.16867689,129.59716295,-68.36988708,30.06238810,129.59716295,149.99747895,236.04743201,719.51874809,-171313.58915700,8.40689581,2.53393393,0.53679310,7.96877631,1.28463060,73.60391151
301,46.66165590,-1.07427596,19.13364769,-42.33582565,44.32378175,-13.92196031,15.75882645,179.86432492,-48.41453774,17.32615000,0.01971949,16.31354000,0.03027794,15.85893000,0.02077406,15.65278000,0.01564839,15.56016000,0.01510353,2.36765300,-201.70310000,4.28389300,0.12385850,5704.90100000,45.98593000,-2.01481600,0.08534040,951.57971960,-0.63159638,0.00149561,-0.71174978,8.96381496,0.00016685,-0.68377495,8.98985689,8.96381484,0.00149561,-0.68377495,180.37682627,-200.36939295,109.18381441,-190.31673580,51.83060705,117.92028441,-190.30808523,51.86236059,117.92028441,703.76606894,464.88460374,295.87752852,-151366.00102800,14.09173274,1.72486500,0.78189178,9.56456280,0.89576469,51.32353624
302,52.96653453,0.99396915,30.39676706,-26.81769535,39.99465878,6.60147713,15.19761611,183.45106897,-42.27485861,16.70893000,0.01787383,15.67315000,0.01488905,15.28281000,0.00832178,15.12071000,0.01255379,15.04528000,0.01501633,2.01075100,137.61440000,4.05419900,0.08470147,6239.01000000,26.51875000,-1.59599500,0.03163190,1211.24508591,-0.89460689,-0.05394968,-0.81478991,9.22730340,6.27733853,-0.78599367,9.26071887,9.22714568,-0.05394968,-0.78599367,-113.26806526,-236.89205428,-64.52475932,103.86891035,15.30794572,-54.87090896,103.77763335,15.91497902,-54.87090896,677.79931931,146.85234002,49.46945571,-169093.46541700,10.32446453,0.59024311,0.89184445,4.62771902,1.04424075,59.83058773
303,26.10419602,24.36778205,106.57159511,-66.50750921,120.01257654,-37.11785472,15.15722983,138.06855410,-36.94186693,17.09264000,0.02256575,15.84493000,0.01468165,15.22716000,0.01435836,14.95765000,0.01656880,14.81985000,0.01466394,1.65383700,11.91630000,4.55890200,0.10769440,5563.97700000,46.29941000,-1.33407500,0.02075216,604.40970094,-0.35937885,0.32280840,-0.36325289,8.69650418,0.03712786,-0.33612942,8.70299764,8.69051090,0.32280840,-0.33612942,-189.31521557,-292.15897337,-92.16117803,180.00194994,-39.95897337,-82.26983215,178.39464954,-46.61298691,-82.26983215,682.76377500,-405.37003534,105.43979595,-159431.64049800,12.30491143,1.04306578,0.84371178,4.51607361,2.35639904,135.01171978
308,152.13694651,24.78539229,-20.86358207,-65.99565277,59.77335102,-34.89787600,15.13994216,207.20939056,53.46831926,17.12928000,0.01346256,15.73726000,0.02712662,15.20345000,0.01314218,14.98214000,0.02454193,14.90128000,0.01408313,1.13127900,47.10184000,4.55426900,0.03923863,5294.49100000,44.28152000,-1.27410800,0.09671828,658.24260538,-0.34847085,-0.17916190,0.52891626,8.67866778,6.26253990,0.55600134,8.69645974,8.67681828,-0.17916190,0.55600134,-17.46971000,-218.70502546,-26.97374752,7.95381626,33.49497454,-17.61908909,7.26065300,33.65203457,-17.61908909,580.13811581,292.05482821,11.03803092,-178909.09426800,8.64372649,0.70175446,0.84981951,1.22103334,0.54811689,31.40478441
338,54.35265445,0.48188665,16.02369322,-27.18919139,31.28666518,-4.14191442,15.34016955,185.15085363,-41.51172764,16.65684000,0.01890369,15.71268000,0.01891163,15.41120000,0.01462180,15.30676000,0.01196282,15.25364000,0.01081044,2.54576800,-169.78410000,3.73627500,0.11864810,6428.41800000,19.14511000,-1.87937600,0.04853210,1722.41160742,-1.28456798,-0.11579395,-1.14156849,9.61882183,6.27114675,-1.11155349,9.68283453,9.61812483,-0.11579395,-1.11155349,171.88257061,-240.99877055,87.20410356,-181.75391771,11.20122945,95.96719318,-181.87559075,9.01241557,95.96719318,871.22565533,86.68881966,182.21243827,-152320.07249400,14.19132506,0.74844394,0.89980515,6.99038036,1.36111131,77.98593346
380,115.32592238,27.75442539,9.09922567,-21.78549203,23.58122476,1.15300031,16.13154209,192.18358518,22.47997514,17.46711000,0.01567182,16.50445000,0.01440912,16.20071000,0.01184931,16.08094000,0.01316368,16.03759000,0.01786458,2.60982200,297.57620000,3.94274300,0.21958240,6335.04900000,56.27743000,-1.60952500,0.03428846,2180.74427447,-1.96965066,-0.42526292,0.83383050,10.30581633,6.24190923,0.86597418,10.34213525,10.29703849,-0.42526292,0.86597418,-212.86845491,-295.35408372,124.79510158,202.87790339,-43.15408372,134.75890581,204.48583053,-34.74570097,134.75890581,909.10623946,-358.08281247,619.26530597,-139644.61603800,17.67621341,2.48238754,0.75371430,15.67829422,1.92990679,110.57551366
391,180.03215670,0.93118714,-15.42985892,-48.43907371,5.68980384,-50.51782398,15.66074090,275.63165483,61.05361809,17.34183000,0.02472984,16.20277000,0.02165946,15.72714000,0.01136953,15.53726000,0.01529611,15.47081000,0.01764284,1.51439900,260.42020000,4.42078000,0.08398363,5545.50000000,40.36192000,-1.47516100,0.04653511,902.35341479,0.04285759,-0.43462291,0.78962512,8.29607057,6.23077230,0.81548751,8.33605463,8.28467801,-0.43462291,0.81548751,55.14656697,-311.22955803,123.29915498,-65.13114377,-59.02955803,132.42642909,-61.94920259,-62.36065192,132.42642909,150.33309902,-517.34836896,519.70257441,-168994.17053000,8.81565516,2.88150126,0.50731594,6.92686979,2.13964464,122.59260760
476,168.27425023,9.39192514,-32.44119969,-38.96303384,8.43752832,-49.99357518,16.87444695,245.66517002,60.79350491,19.14352000,0.03082462,17.62210000,0.01344223,16.95594000,0.01793794,16.66681000,0.02246149,16.52865000,0.02349842,1.30500000,237.02520000,4.58020800,0.04282749,5025.78900000,25.12675000,-1.36730200,0.07717383,1077.54408026,-0.21666425,-0.47908141,0.94055242,8.55714899,6.22716992,0.96722410,8.61163871,8.54372751,-0.47908141,0.96722410,-100.24084521,-326.24247179,82.28120963,90.38353808,-74.04247179,91.89368389,94.38712516,-68.86611784,91.89368389,383.74442756,-589.29763065,152.85894753,-168705.81747100,9.75951326,1.86949656,0.67847709,4.12984640,2.47587275,141.85705936
523,125.58056513,50.65425227,7.24289146,-36.05674347,36.24738918,6.21892303,15.40218834,168.33646545,34.78979788,16.72958000,0.02225268,15.81205000,0.01809270,15.47548000,0.01187423,15.33222000,0.01758276,15.29637000,0.01608175,2.19459900,-211.13910000,4.05192900,0.08037901,6189.40000000,22.43251000,-1.69538000,0.02573968,1251.14999425,-1.00629164,0.20772516,0.71386533,9.33636972,0.02225086,0.74300272,9.36588771,9.33405860,0.20772516,0.74300272,146.96624971,-249.85505804,-90.17750599,-156.28406879,2.34494196,-81.33578268,-156.19320951,5.82153018,-81.33578268,742.69554160,54.35195807,119.65938583,-160027.39578200,12.52249122,0.24565801,0.96152019,5.48078121,1.25258749,71.76797682
536,212.82265306,29.57498572,-28.90401703,-28.97469888,-27.38518287,30.41425875,15.26438103,45.55900482,72.28437153,16.50317000,0.01133409,15.64203000,0.02255733,15.33490000,0.02390193,15.23567000,0.01052665,15.25307000,0.01595513,2.37867000,84.13259000,4.15198100,0.07382634,6236.80300000,42.30029000,-1.84618400,0.02363626,1295.37139088,0.27598936,0.28142796,1.23394296,8.05507832,0.03494507,1.25907552,8.15288648,8.05016056,0.28142796,1.25907552,13.42291525,-226.48610510,136.97382819,-23.45037714,25.71389490,146.23126493,-22.53766941,26.51750434,146.23126493,124.16208281,213.60057438,783.23587671,-170956.30452400,8.33432191,2.75782757,0.50274244,8.07175714,1.32819460,76.09994473
547,111.22893328,37.27304960,7.69224054,-36.37931099,36.98259745,-3.86164715,16.17625844,181.23519465,22.28630205,17.64115000,0.01913358,16.63165000,0.01005446,16.20984000,0.01042372,16.10249000,0.00914388,16.03340000,0.01755621,2.02298100,250.96750000,3.98573800,0.05099071,5909.37800000,9.17256900,-1.25136000,0.02953274,1753.53858197,-1.62217294,-0.03497657,0.66500312,9.95015088,6.27967012,0.69606307,9.97446772,9.95008941,-0.03497657,0.69606307,-237.71015967,-312.61828250,65.47321236,227.90464460,-60.41828250,75.51484230,228.11561767,-59.61678342,75.51484230,1118.44527462,-593.19599004,86.48092979,-141609.39589500,17.63841161,1.42961944,0.85005065,4.99305440,2.55417181,146.34326505
557,39.91408489,26.88340045,47.65171566,-29.70869234,56.01332542,-3.97489383,15.23314270,150.88061210,-30.05011508,16.86597000,0.01671342,15.78701000,0.01407279,15.29201000,0.01158331,15.09664000,0.01020072,15.02323000,0.01347091,2.15386900,119.00360000,4.14914100,0.08976354,6169.95200000,24.09631000,-1.39073600,0.01348229,970.88222800,-0.73416564,0.40895680,-0.48617636,9.07489895,0.04507988,-0.45788249,9.08644305,9.06567953,0.40895680,-0.45788249,-207.43797825,-179.54526184,-75.42715866,198.07239356,72.65473816,-65.47932892,201.14532433,63.65487072,-65.47932892,838.34273657,577.66151954,54.42472069,-152999.68718300,13.99157479,1.47540093,0.80921921,3.85592041,0.44907121,25.72988477
567,331.87997804,21.15685567,6.00710035,-9.90716913,-1.99695176,-11.41268761,15.08583591,79.33311931,-27.51806888,16.44541000,0.01296572,15.47049000,0.01082335,15.14448000,0.01071915,15.01997000,0.01276423,14.95425000,0.01731907,2.64685100,-39.34563000,3.65375000,0.12323910,6414.98000000,33.32168000,-1.87424700,0.04026047,1368.60498797,0.22466677,1.19279413,-0.63233426,8.19458362,0.14607781,-0.60703242,8.21703651,8.10730799,1.19279413,-0.60703242,-0.05913928,-70.30849028,-47.48788333,-9.39264024,181.89150972,-38.18746743,17.18331332,181.32147347,-38.18746743,51.48336506,1485.85397604,24.33810528,-165307.85017600,8.29744175,5.37597390,0.21366043,1.04023366,0.18608295,10.66176764
