group_id,ra,dec,pmra_new,pmdec_new,phot_g_mean_mag,objid,l,b,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,X,Y,Z,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,pml,pmb,U,V,W,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel
S1,193.810242557,29.048708163,-17.446846526,-32.6735722576,17.1941805272,1.2376654409785E+018,99.5604484716,87.9043891616,18.37352,0.01929612,17.54446,0.03133991,17.27544,0.01640433,17.17852,0.01338872,17.14789,0.02786998,0.0647536,0.04764508,0.03455619,0.02620291,0.01857819,-111.2181,3.154461,4.094468,0.2139819,6289.604,28.66637,-2.103501,0.001496957,3360.17145325,-0.0204075583,0.1211653321,3.3579241637,8.3408067136,0.0145273231,3.3839715038,9.0011288054,8.3399265941,0.1211653321,3.3839715038,2.7655130109,36.9365227865,54.889275514,-591.121299744,-89.629278498,-64.2092542567,-338.921299744,-80.5001641427,-69.1259249605,-337.952781096,-80.5001641427
S1,194.122672576,23.100519294,-31.4290248701,-26.1672284662,16.338742826,1.23766778391219E+018,319.057050719,85.8131234517,17.43866,0.04448524,16.64038,0.0312564,16.40493,0.02218567,16.32365,0.013775,16.2901,0.02083543,0.1142158,0.08403888,0.060952,0.04621806,0.03276918,-27.73101,2.872945,3.595009,0.1676093,6322.726,30.11594,-2.063044,0.06052217,2832.70071975,0.1562201418,-0.1355272373,2.825140882,8.1660874015,6.2665881961,2.850639521,8.6493426992,8.1649626954,-0.1355272373,2.850639521,-37.3048332205,-16.7587848092,-160.265031948,-524.144239898,-44.087304645,150.801858051,-271.944239898,-34.2868653393,155.294369819,-269.40402504,-34.2868653393
S1,213.724087337,47.5455144134,-16.173524262,-19.2170788926,18.3209167181,1.23766195722473E+018,89.849649156,63.8681417006,19.54252,0.02975221,18.71028,0.02615501,18.38199,0.01466902,18.25749,0.02042485,18.19813,0.03264507,0.0609095,0.04481663,0.03250476,0.02464737,0.0174753,-313.6504,6.85497,4.013291,0.2090176,6113.916,57.49714,-2.077373,0.04427347,4280.8662652,0.0049476573,1.8854515428,3.8432881731,8.5241912824,0.2230328026,3.8692540094,9.3612479728,8.3130565678,1.8854515428,3.8692540094,-2.601114433,24.9822579429,51.2281863409,-593.431727563,-58.299586081,-60.6459701962,-341.231727563,-49.159197221,-134.620309423,-319.365617886,-49.159197221
S1,174.635659223,0.8799112371,-14.769584045,-29.4217976919,17.659256291,1.23767465153698E+018,266.224351545,58.4573396934,18.9501,0.03941924,18.04599,0.01947428,17.7047,0.01390147,17.59579,0.01146221,17.55157,0.01905863,0.1310715,0.09644116,0.06994718,0.05303883,0.03760519,205.3148,8.113049,4.085158,0.6118221,6150.751,84.49497,-1.751922,0.05619388,3531.52665988,-0.1216548364,-1.8434492427,3.0097467568,8.6411840091,6.0682001306,3.0361118092,9.159041216,8.442260122,-1.8434492427,3.0361118092,3.1477365114,-32.7700251318,14.7213674855,-577.179218155,-112.014400021,-23.9716727019,-324.979218155,-102.759803214,45.9089398708,-322.612000032,-102.759803214
S1,214.155892877,58.87523315,-29.7645470844,-33.5849333635,16.9896830584,1.23765546431198E+018,103.835706467,54.981398402,18.38893,0.02120665,17.45407,0.01391284,17.06009,0.01877705,16.90563,0.01285233,16.85033,0.02050639,0.05102464,0.03754344,0.02722964,0.02064741,0.01463927,-402.9581,3.888258,3.98171,0.07616713,5734.67,22.44861,-2.182033,0.01479483,1784.09919506,-0.2448281264,0.9940868104,1.4611161965,8.6277271398,0.1154764823,1.4878732451,8.7550809472,8.5702664493,0.9940868104,1.4878732451,5.6753931842,44.5159064198,82.4248633764,-535.391580137,-113.961907468,-91.6687601799,-283.191580137,-104.91861958,-123.687582737,-270.743447806,-104.91861958
S1,243.552079346,51.0977403852,-18.101710007,-4.1554514831,18.7192242133,1.23765494891538E+018,79.3847604155,45.1464463331,20.09743,0.05435646,19.20675,0.01552141,18.76967,0.01588161,18.64901,0.01725503,18.56208,0.03524904,0.1134623,0.08348449,0.06054992,0.04591317,0.03255301,-496.1145,8.300347,4.228171,0.4787354,5741.78,119.9931,-2.105217,0.0498,4010.77591947,0.5210990556,2.7803779456,2.8432864313,8.2807579793,0.3424158822,2.8676461097,8.763238381,7.8000289225,2.7803779456,2.8676461097,-0.1459593474,18.5719783027,-107.842561167,-590.469897451,-102.655135102,98.5624464846,-338.269897451,-93.0180332696,-20.7382258607,-351.725753062,-93.0180332696
S1,173.844191743,13.4436319386,-20.9830222823,-34.6545266022,18.0353256023,1.23766195132354E+018,246.761334325,67.5747822823,19.47236,0.03206716,18.51022,0.03263976,18.12745,0.01792563,17.91463,0.01770263,17.86668,0.02456927,0.1904831,0.1401556,0.1016526,0.07708006,0.05465072,106.2336,4.591836,4.092035,0.1082004,5755.903,30.28185,-1.863657,0.03854522,2972.54075734,-0.4474163316,-1.0419579858,2.7477519422,8.8305261683,6.1649147678,2.7751350485,9.2563257801,8.7688377773,-1.0419579858,2.7751350485,12.7084084673,-38.4671261254,-49.1401301747,-568.302423998,-108.579539305,39.8787928834,-316.102423998,-99.1256325972,76.8987144846,-309.188693664,-99.1256325972
S1,193.140820762,8.9422270865,-25.191514937,-27.2402278711,19.2318317246,1.23766223639622E+018,303.822333634,71.8120302737,21.14028,0.1088338,19.85037,0.02227286,19.29849,0.0249524,19.06102,0.02379071,18.9836,0.04489074,0.1075606,0.07914209,0.05740045,0.04352502,0.03085978,104.7366,5.493833,3.877124,0.6062673,5294.791,39.56374,-2.149147,0.0467248,3290.97285475,0.5717758386,-0.8533887726,3.1265479884,7.7953212113,6.1734909656,3.150748113,8.4079870634,7.7484682609,-0.8533887726,3.150748113,-25.5704277641,-26.8848593683,-91.4157031337,-580.239937954,-31.4134473568,81.9133065401,-328.039937954,-21.8279646036,117.332978474,-317.100871717,-21.8279646036
S1,193.043544414,18.5521286132,-86.2841994798,-228.107976756,14.5864268732,1.23766862570016E+018,304.101932684,81.4222047947,16.21045,0.02066707,15.13913,0.02498952,14.66311,0.02480926,14.44996,0.01700336,14.34754,0.01351253,0.1269527,0.09341059,0.06774915,0.05137213,0.03642348,-54.8,14.5,4.15,0.27,5475,187,-1.87,0.17,484.422580559,0.0405096801,-0.0598282003,0.4790039549,8.2882113709,6.2759667751,0.5048751815,8.3035743315,8.2879954341,-0.0598282003,0.5048751815,-90.6409647358,-226.41207488,111.310123786,-535.641481051,-131.735782351,-120.498403478,-283.441481051,-122.782565522,-118.449250411,-284.303910451,-122.782565522
S1,181.4805707,40.5570014982,-17.3834550762,-44.2150232948,17.0593986861,1.23766222567696E+018,155.022431266,73.6110566683,18.25257,0.01769232,17.46655,0.01910563,17.13489,0.01374464,17.00116,0.01847595,16.94586,0.01870475,0.08709025,0.06408018,0.04647629,0.03524156,0.02498671,-207.1598,4.301734,4.226447,0.1682533,6022.222,41.2796,-2.226955,0.0723381,2313.84204451,-0.5918047656,0.275681075,2.2198270363,8.9191348089,0.0309138718,2.2476633842,9.1979865421,8.9148732848,0.275681075,2.2476633842,41.1230168994,23.7918111215,89.4622515056,-539.279745162,-125.109589166,-98.6713195142,-287.079745162,-116.088212308,-107.49750773,-283.892753005,-116.088212308
S1,188.573795221,14.5872296719,-40.335024641,-35.0726233317,17.7210769668,1.23766106926475E+018,284.412819883,76.8385841182,19.28714,0.05003756,18.2244,0.02614285,17.77354,0.0270698,17.54561,0.03018448,17.44604,0.03539424,0.192955,0.1419744,0.1029717,0.07808032,0.05535992,72.34814,3.711301,4.01034,0.1312834,5638.568,31.54158,-1.646153,0.0297165,2227.72099873,0.1262557222,-0.4912772009,2.1692042441,8.2116831995,6.2233229468,2.1947996042,8.4999344863,8.1969743003,-0.4912772009,2.1947996042,-28.3314866468,-45.3247171479,-169.66696932,-541.833641176,-38.5383803223,160.186430138,-289.633641176,-28.7086224058,177.227301672,-279.531433015,-28.7086224058
S1,211.635144836,53.1749880449,-13.1238829558,-14.7541927426,17.6910154025,1.23766141606488E+018,99.8940110259,60.4644489327,18.8681,0.02424559,17.97738,0.01867493,17.74006,0.01337169,17.65764,0.01375855,17.65672,0.03022884,0.04353712,0.0320342,0.02323387,0.01761754,0.01249106,-345.5231,7.323743,3.852677,0.3878312,6482.005,43.57688,-2.024639,0.06395388,4869.95398307,-0.4125046347,2.3650045386,4.237103404,9.0439778049,0.2645764504,4.264370288,9.998919366,8.7292776372,2.3650045386,4.264370288,2.1072869081,19.6336916857,49.1034605089,-564.650516984,-77.1813018142,-58.462320474,-312.450516984,-68.0341892152,-138.13398755,-286.290359534,-68.0341892152
S1,224.671636474,40.4038783534,-22.1071451061,-14.4451188515,17.9167944248,1.23766143485798E+018,68.0013025725,60.629914633,19.30104,0.02786358,18.35611,0.02337157,18.00477,0.01535702,17.86404,0.02087316,17.82264,0.02111639,0.08124097,0.05977632,0.04335478,0.03287461,0.02330851,-339.8853,4.11035,4.154788,0.1293207,6007.363,45.24452,-1.401495,0.03578295,3807.51019767,0.6994968234,1.73142872,3.3181309027,7.8143797108,0.2234237494,3.3419314471,8.4990020627,7.6201499232,1.73142872,3.3419314471,-7.3728015027,25.3580188772,-88.4668583498,-574.235633122,-71.7230269581,79.0902917222,-322.035633122,-62.1465518871,5.7711728921,-331.555299774,-62.1465518871
S1,203.670819063,66.7425502538,-26.8355164467,-26.7389347746,17.5235998482,1.23765153925228E+018,116.338777353,49.8284490399,19.06802,0.02595209,18.03152,0.01706986,17.57801,0.01946548,17.39451,0.01738655,17.30929,0.01989922,0.08253908,0.06073147,0.04404752,0.03339991,0.02368095,-411.4068,9.227021,3.592034,0.3785702,5584.53,7.494807,-2.066144,0.1627,1939.3925956,-0.5550676666,1.1211830813,1.4819217333,8.9509361473,0.1255886319,1.5096470105,9.077350495,8.8804395393,1.1211830813,1.5096470105,19.0015418204,32.7728086116,63.3374101625,-521.674289248,-119.999836835,-72.562554156,-269.474289248,-110.896943142,-105.745072176,-258.262843905,-110.896943142
S1,185.637699195,39.4757383908,-20.4663553091,-24.2040019586,18.5829906384,1.23766466790896E+018,147.060733117,76.268528318,20.09758,0.03896867,19.08105,0.01545965,18.65625,0.01345449,18.45598,0.01642462,18.371,0.0275657,0.1214374,0.08935247,0.06480587,0.04914033,0.03484111,72.65457,5.043173,4.640723,0.178819,5652.291,47.11104,-1.700593,0.05737563,3567.48998855,-0.7106926692,0.4604589214,3.465527136,9.0416049229,0.0509487191,3.4937284928,9.6931294411,9.0298724887,0.4604589214,3.4937284928,29.4585326785,11.7004385763,-124.046624966,-513.245539538,117.547459779,114.079127682,-261.045539538,127.234065654,100.636915326,-266.516476713,127.234065654
S1,27.8813361118,14.2159909598,16.362733192,-7.7676108539,19.167954964,1.23764995440706E+018,144.200288351,-46.1596074524,20.52109,0.05150883,19.64401,0.02761842,19.2275,0.02092074,19.055,0.02749911,18.9314,0.05220079,0.2939772,0.2163056,0.1568829,0.1189595,0.08434378,-22.2243,9.302171,4.182233,0.5682628,6066.021,107.5171,-1.697093,0.041,5490.66582202,-3.0845840101,2.2246485526,-3.9602640659,11.6414684624,0.1922795209,-3.9246170689,12.2852109098,11.4269298929,2.2246485526,-3.9246170689,18.0155339897,-1.8749269205,-233.259122511,-409.915232932,-17.7724930764,223.713458389,-157.715232932,-7.7443503658,189.451790174,-197.559675447,-7.7443503658
S1,202.360517733,38.3896280566,-23.2281619923,-34.5751254924,17.0305125268,1.2376622246103E+018,90.0577441342,76.2104042901,18.22107,0.01608032,17.37944,0.02356073,17.08684,0.02480527,16.9805,0.02681423,16.96048,0.01948171,0.04647137,0.03419319,0.02479975,0.0188049,0.01333291,-281.6951,3.405309,4.208018,0.1620898,6274.868,49.42048,-2.045068,0.06096635,2753.29874873,-0.0006614037,0.656267989,2.673942013,8.3481507743,0.0786935741,2.6999310525,8.7738958872,8.3223154036,0.656267989,2.6999310525,-3.0177109915,41.5437147199,39.9853204963,-593.701437302,-144.332625648,-49.1346299286,-341.501437302,-135.156726109,-75.82881121,-336.581988419,-135.156726109
S1,169.44603461,67.6853792717,-5.1426156779,-11.9502504183,18.7832411908,1.23765127404546E+018,135.724850701,47.048778256,19.98899,0.04613214,19.1691,0.02515083,18.8741,0.01880256,18.75119,0.0221387,18.69319,0.04433698,0.08343907,0.06139367,0.04452781,0.03376409,0.02393916,-356.1053,5.64477,3.659302,0.5874478,6375.108,45.27997,-1.902044,0.1134769,6243.21028187,-3.0458240447,2.9697171839,4.5696181853,11.7432515059,0.2556632246,4.6051026539,12.6139179633,11.3615463639,2.9697171839,4.6051026539,10.5981454852,7.545481651,71.7929645682,-508.074484141,-108.484776253,-81.0540085646,-255.874484141,-99.408330408,-143.126776082,-227.059969847,-99.408330408
S1,263.876627282,44.3922001393,-17.2675485537,-2.8152162183,18.3247991226,1.23766872770032E+018,70.3319429409,31.7260322219,20.40556,0.04743674,19.04006,0.01408304,18.43783,0.01110618,18.18074,0.01166538,18.00364,0.02178186,0.1017505,0.07486707,0.05429984,0.04117392,0.02919283,-560.4678,3.32216,4.314374,0.01791185,5065.828,56.6538,-1.66463,0.05500185,2207.65045329,0.6320004073,1.768214252,1.1609110078,7.8949384336,0.2258840958,1.1849327322,7.9833651082,7.6943791971,1.768214252,1.1849327322,-5.2887447891,16.6770157392,-139.219823206,-553.957958257,-146.276200156,130.075707204,-301.757958257,-136.540950088,59.1871737876,-323.225050755,-136.540950088
S1,124.478591711,47.5598526894,0.9944598115,-8.4572825318,19.3302754846,1.23765119189221E+018,172.031941819,33.9026265354,20.6693,0.05377217,19.64348,0.02081163,19.34779,0.01597105,19.2029,0.02193819,19.12265,0.04612924,0.2808132,0.2066197,0.1498578,0.1136327,0.08056697,-185.3146,10.08189,4.126658,0.7498424,6345.125,71.44497,-1.359468,0.0449,9623.86720281,-7.9105648816,1.1072605769,5.3680310363,16.2615124372,0.0681435987,5.4186956068,17.1405673425,16.2237714715,1.1072605769,5.4186956068,8.5094716537,0.3216680183,106.615247768,-406.923929385,-91.1852852952,-115.93011789,-154.723929385,-82.2176121874,-126.196345792,-146.471051294,-82.2176121874
