,group_id,ra,dec,pmra_new,pmdec_new,phot_g_mean_mag,l,b,objid,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,X,Y,Z,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,pml,pmb,U,V,W,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel
10,S1,189.68877926,17.69165743,-23.43879403,-32.89962571,17.98675445,285.04669578,80.12012933,1237668624625039616.00000000,19.32552000,0.02756436,18.39603000,0.03691056,18.04230000,0.02665779,17.88144000,0.02348603,17.78646000,0.02389437,0.11080020,0.08152570,0.05912924,0.04483591,0.03178922,6.79203700,6.62992000,4.36394600,0.28093220,5955.73400000,32.02429000,-2.02480200,0.05078248,3228.48490825,0.14380966,-0.53496060,3.18060541,8.19374578,6.21784994,3.20614105,8.79868230,8.17626363,-0.53496060,3.20614105,-13.01479052,-38.24104687,-42.36941490,-609.64867859,-93.72960934,33.06176049,-357.44867859,-84.29690795,56.32864890,-354.52746176,-84.29690795
11,S1,193.81024256,29.04870816,-17.44684653,-32.67357226,17.19418053,99.56044847,87.90438916,1237665440978500096.00000000,18.37352000,0.01929612,17.54446000,0.03133991,17.27544000,0.01640433,17.17852000,0.01338872,17.14789000,0.02786998,0.06475360,0.04764508,0.03455619,0.02620291,0.01857819,-111.21810000,3.15446100,4.09446800,0.21398190,6289.60400000,28.66637000,-2.10350100,0.00149696,3360.17145325,-0.02040756,0.12116533,3.35792416,8.34080671,0.01452732,3.38397150,9.00112881,8.33992659,0.12116533,3.38397150,2.76551301,36.93652279,54.88927551,-591.12129974,-89.62927850,-64.20925426,-338.92129974,-80.50016414,-69.12592496,-337.95278110,-80.50016414
12,S1,194.12267258,23.10051929,-31.42902487,-26.16722847,16.33874283,319.05705072,85.81312345,1237667783912189952.00000000,17.43866000,0.04448524,16.64038000,0.03125640,16.40493000,0.02218567,16.32365000,0.01377500,16.29010000,0.02083543,0.11421580,0.08403888,0.06095200,0.04621806,0.03276918,-27.73101000,2.87294500,3.59500900,0.16760930,6322.72600000,30.11594000,-2.06304400,0.06052217,2832.70071975,0.15622014,-0.13552724,2.82514088,8.16608740,6.26658820,2.85063952,8.64934270,8.16496270,-0.13552724,2.85063952,-37.30483322,-16.75878481,-160.26503195,-524.14423990,-44.08730465,150.80185805,-271.94423990,-34.28686534,155.29436982,-269.40402504,-34.28686534
13,S1,213.72408734,47.54551441,-16.17352426,-19.21707889,18.32091672,89.84964916,63.86814170,1237661957224729856.00000000,19.54252000,0.02975221,18.71028000,0.02615501,18.38199000,0.01466902,18.25749000,0.02042485,18.19813000,0.03264507,0.06090950,0.04481663,0.03250476,0.02464737,0.01747530,-313.65040000,6.85497000,4.01329100,0.20901760,6113.91600000,57.49714000,-2.07737300,0.04427347,4280.86626520,0.00494766,1.88545154,3.84328817,8.52419128,0.22303280,3.86925401,9.36124797,8.31305657,1.88545154,3.86925401,-2.60111443,24.98225794,51.22818634,-593.43172756,-58.29958608,-60.64597020,-341.23172756,-49.15919722,-134.62030942,-319.36561789,-49.15919722
14,S1,174.63565922,0.87991124,-14.76958405,-29.42179769,17.65925629,266.22435154,58.45733969,1237674651536979712.00000000,18.95010000,0.03941924,18.04599000,0.01947428,17.70470000,0.01390147,17.59579000,0.01146221,17.55157000,0.01905863,0.13107150,0.09644116,0.06994718,0.05303883,0.03760519,205.31480000,8.11304900,4.08515800,0.61182210,6150.75100000,84.49497000,-1.75192200,0.05619388,3531.52665988,-0.12165484,-1.84344924,3.00974676,8.64118401,6.06820013,3.03611181,9.15904122,8.44226012,-1.84344924,3.03611181,3.14773651,-32.77002513,14.72136749,-577.17921815,-112.01440002,-23.97167270,-324.97921816,-102.75980321,45.90893987,-322.61200003,-102.75980321
15,S1,214.15589288,58.87523315,-29.76454708,-33.58493336,16.98968306,103.83570647,54.98139840,1237655464311980032.00000000,18.38893000,0.02120665,17.45407000,0.01391284,17.06009000,0.01877705,16.90563000,0.01285233,16.85033000,0.02050639,0.05102464,0.03754344,0.02722964,0.02064741,0.01463927,-402.95810000,3.88825800,3.98171000,0.07616713,5734.67000000,22.44861000,-2.18203300,0.01479483,1784.09919506,-0.24482813,0.99408681,1.46111620,8.62772714,0.11547648,1.48787325,8.75508095,8.57026645,0.99408681,1.48787325,5.67539318,44.51590642,82.42486338,-535.39158014,-113.96190747,-91.66876018,-283.19158014,-104.91861958,-123.68758274,-270.74344781,-104.91861958
16,S1,243.55207935,51.09774039,-18.10171001,-4.15545148,18.71922421,79.38476042,45.14644633,1237654948915379968.00000000,20.09743000,0.05435646,19.20675000,0.01552141,18.76967000,0.01588161,18.64901000,0.01725503,18.56208000,0.03524904,0.11346230,0.08348449,0.06054992,0.04591317,0.03255301,-496.11450000,8.30034700,4.22817100,0.47873540,5741.78000000,119.99310000,-2.10521700,0.04980000,4010.77591947,0.52109906,2.78037795,2.84328643,8.28075798,0.34241588,2.86764611,8.76323838,7.80002892,2.78037795,2.86764611,-0.14595935,18.57197830,-107.84256117,-590.46989745,-102.65513510,98.56244648,-338.26989745,-93.01803327,-20.73822586,-351.72575306,-93.01803327
17,S1,173.84419174,13.44363194,-20.98302228,-34.65452660,18.03532560,246.76133433,67.57478228,1237661951323539712.00000000,19.47236000,0.03206716,18.51022000,0.03263976,18.12745000,0.01792563,17.91463000,0.01770263,17.86668000,0.02456927,0.19048310,0.14015560,0.10165260,0.07708006,0.05465072,106.23360000,4.59183600,4.09203500,0.10820040,5755.90300000,30.28185000,-1.86365700,0.03854522,2972.54075734,-0.44741633,-1.04195799,2.74775194,8.83052617,6.16491477,2.77513505,9.25632578,8.76883778,-1.04195799,2.77513505,12.70840847,-38.46712613,-49.14013017,-568.30242400,-108.57953930,39.87879288,-316.10242400,-99.12563260,76.89871448,-309.18869366,-99.12563260
18,S1,193.14082076,8.94222709,-25.19151494,-27.24022787,19.23183172,303.82233363,71.81203027,1237662236396219648.00000000,21.14028000,0.10883380,19.85037000,0.02227286,19.29849000,0.02495240,19.06102000,0.02379071,18.98360000,0.04489074,0.10756060,0.07914209,0.05740045,0.04352502,0.03085978,104.73660000,5.49383300,3.87712400,0.60626730,5294.79100000,39.56374000,-2.14914700,0.04672480,3290.97285475,0.57177584,-0.85338877,3.12654799,7.79532121,6.17349097,3.15074811,8.40798706,7.74846826,-0.85338877,3.15074811,-25.57042776,-26.88485937,-91.41570313,-580.23993795,-31.41344736,81.91330654,-328.03993795,-21.82796460,117.33297847,-317.10087172,-21.82796460
19,S1,193.04354441,18.55212861,-86.28419948,-228.10797676,14.58642687,304.10193268,81.42220479,1237668625700159744.00000000,16.21045000,0.02066707,15.13913000,0.02498952,14.66311000,0.02480926,14.44996000,0.01700336,14.34754000,0.01351253,0.12695270,0.09341059,0.06774915,0.05137213,0.03642348,-54.80000000,14.50000000,4.15000000,0.27000000,5475.00000000,187.00000000,-1.87000000,0.17000000,484.42258056,0.04050968,-0.05982820,0.47900395,8.28821137,6.27596678,0.50487518,8.30357433,8.28799543,-0.05982820,0.50487518,-90.64096474,-226.41207488,111.31012379,-535.64148105,-131.73578235,-120.49840348,-283.44148105,-122.78256552,-118.44925041,-284.30391045,-122.78256552
