index,ra,dec,pmra,pmdec,pml,pmb,phot_g_mean_mag,l,b,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,X,Y,Z,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,U,V,W,GalU,GalV,GalW,GalRVel,GalphiVel,GalzVel,JR,Jphi,Jz,E,apocentre,pericentre,eccent,zmax,orb_incl,orb_incl_deg
20,263.24805085,32.22438436,-54.42055831,34.34558959,18.96555068,61.49410198,14.70552352,56.34742173,29.72582204,16.17389000,0.01329459,15.16313000,0.01067454,14.77009000,0.01060998,14.65278000,0.01284040,14.59869000,0.01686594,-197.58560000,1.51630200,4.23041400,0.10550280,6022.14700000,19.76208000,-1.33926600,0.03589220,951.75371168,0.45801556,0.68799827,0.47192717,7.90052702,0.08719302,0.49649529,7.91611235,7.87051368,0.68799827,0.49649529,-242.54896270,-209.92822473,142.96406713,232.50155703,42.27177527,153.02042264,235.29944124,21.86435352,153.02042264,840.49898570,172.73991564,600.31437543,-145108.82880000,16.06143365,1.42782534,0.83671974,13.91358137,1.28088298,73.38918867
25,19.04847188,26.67423571,88.89555234,-1.94996870,88.50111641,8.58917914,16.00733108,129.75933963,-35.86911124,17.85213000,0.02291802,16.67855000,0.01907702,16.08284000,0.01339239,15.85094000,0.01447257,15.72876000,0.02093449,67.94450000,1.22652300,4.38936900,0.06157796,5381.60000000,7.28493000,-1.78476000,0.08414834,804.57017996,-0.41698928,0.50120891,-0.47142629,8.76280433,0.05722855,-0.44412247,8.77405177,8.74845868,0.50120891,-0.44412247,-306.97536007,-158.80087055,-13.26420456,297.41526545,93.39912945,-3.00599824,302.27054467,76.23486951,-3.00599824,1616.05496001,668.03124441,6.53462215,-130691.10891800,22.31842075,1.30012540,0.88990640,0.92575573,0.15736313,9.01624292
29,124.97181874,40.89633651,16.70979557,-31.77442844,33.92490216,11.74447035,15.34574248,180.03875127,33.48809246,16.70172000,0.01586682,15.76335000,0.01472183,15.40466000,0.01328954,15.25807000,0.01827767,15.18002000,0.01863381,-270.59730000,1.82433700,4.16243400,0.11361790,6154.44100000,40.64552000,-1.58397700,0.06331018,1182.31420516,-0.98605043,-0.00066690,0.65235803,9.31400948,6.28311371,0.68143254,9.33890374,9.31400946,-0.00066690,0.68143254,262.12640759,-189.96250555,-94.40807047,-271.43046115,62.23749445,-85.92576827,-271.43491679,62.21805930,-85.92576827,1408.26746000,579.49959440,97.24819325,-133288.50522600,20.99534089,1.38844797,0.87594165,6.36916075,0.61507296,35.24108469
31,160.33065187,45.59766004,-86.28508043,-51.47499442,82.51814218,-57.31968569,15.25342110,168.65597719,58.29895761,16.80863000,0.01760291,15.74051000,0.02588014,15.33303000,0.01100314,15.12110000,0.01486858,15.10246000,0.01734203,67.53854000,1.12048700,4.34807300,0.06586018,5637.01800000,35.50100000,-1.21215600,0.01989084,879.79928030,-0.45329117,0.09093876,0.74853459,8.78142349,0.01035600,0.77594577,8.81563897,8.78095261,0.09093876,0.77594577,-301.91243739,-290.44340777,-68.16160550,292.52371503,-38.24340777,-57.91893433,292.11198759,-41.27067723,-57.91893433,1414.02387024,-362.41529460,170.79443420,-133526.32846800,20.92354682,1.08893694,0.90106187,8.45785280,2.24367110,128.55288438
35,37.42476127,-0.28575770,25.30284935,-95.32900048,79.96642959,-57.73406841,16.54158929,168.31041311,-54.26214007,18.16000000,0.01506872,17.13382000,0.02577345,16.62904000,0.01425850,16.39099000,0.02030975,16.32050000,0.02462045,-233.40790000,1.89734900,4.15424400,0.02033730,5404.67600000,59.73209000,-2.28723600,0.10885970,1020.69953111,-0.58380310,0.12078916,-0.82849952,8.91720431,0.01354605,-0.80067330,8.95307827,8.91638619,0.12078916,-0.80067330,277.15256916,-452.46314604,26.29351174,-286.83328731,-200.26314605,34.72832583,-289.51966215,-196.35943472,34.72832583,1622.75595915,-1750.97719843,15.32660352,-116087.44109500,29.30970035,3.90002924,0.76512731,3.86924683,2.95821927,169.49347925
37,188.04252575,24.42063668,-76.77529655,-28.06235185,-18.28385672,-79.67209257,15.43250225,243.83873340,84.88736568,16.89393000,0.02391191,15.91448000,0.02474179,15.47781000,0.02208622,15.31340000,0.03856139,15.30854000,0.02923556,175.76420000,1.47142700,4.34967600,0.08915666,5745.12800000,25.36489000,-1.34704000,0.03416986,947.48898318,-0.03722709,-0.07578472,0.94371934,8.36462466,6.27412504,0.96983094,8.42066017,8.36428134,-0.07578472,0.96983094,-237.76395458,-297.76395475,143.17543398,227.71591249,-45.56395475,153.21685333,228.11938219,-43.49894529,153.21685333,910.16720555,-363.85235027,492.65524281,-142218.92318100,17.05648674,1.73406378,0.81543236,13.48240453,2.06739611,118.45307175
38,180.88057204,-0.89247102,-185.24813846,-18.09150259,-165.76164177,-84.65963257,14.18836149,278.64325095,59.70047939,15.95595000,0.01150079,14.81511000,0.01797097,14.27223000,0.01127745,14.04709000,0.01322694,13.94367000,0.01405640,76.26564000,2.05887600,4.29775100,0.07700861,5331.17500000,37.42365000,-1.53452900,0.03022630,381.74242733,0.02894378,-0.19040956,0.32959632,8.30221141,6.26024850,0.35550438,8.30981935,8.30002762,-0.19040956,0.35550438,-270.90088198,-213.89388043,-11.44647041,261.33528951,38.30611957,-1.30086980,260.38800542,44.28971636,-1.30086980,1221.85912993,367.70258833,5.01059946,-147403.68478200,16.00649077,0.74869058,0.91063175,0.86340920,0.36569241,20.95263175
39,30.88415142,7.30880551,55.29419560,-26.71952251,61.41009281,0.42597086,16.47325614,152.39400732,-51.39125109,18.41025000,0.02324662,17.14525000,0.01768351,16.53141000,0.01921284,16.28606000,0.01326193,16.16607000,0.02375149,195.28780000,1.10984700,4.49918600,0.03626165,5408.27500000,28.05646000,-1.27018400,0.03671719,1097.05330170,-0.60662642,0.31721742,-0.85726509,8.94492576,0.03547083,-0.82936750,8.98329268,8.93929919,0.31721742,-0.82936750,-257.51098673,-225.73752674,-151.22047430,248.38172676,26.46247326,-141.11598583,249.16393780,17.63736883,-141.11598583,1145.12638253,157.76495482,548.12723287,-136521.37927500,19.36449394,1.33296958,0.87119489,17.05860065,1.29987083,74.47711273
41,166.30590894,37.25925127,7.05426016,-23.66701010,20.65103142,13.54344323,15.79868602,181.88495358,65.46249211,17.16480000,0.02153761,16.21122000,0.03259062,15.86376000,0.02013911,15.76476000,0.01471032,15.73096000,0.01741916,-205.89780000,2.08442000,3.74224000,0.05925336,6170.03700000,30.74483000,-1.20624200,0.02639880,1687.38154821,-0.70037155,-0.02304959,1.53499345,9.02560650,6.28063150,1.56317200,9.15997158,9.02557707,-0.02304959,1.56317200,189.39100923,-159.04369701,-142.31328835,-198.54589372,93.15630299,-133.60372866,-198.78314882,92.64895275,-133.60372866,799.21951506,836.21299027,276.78621201,-143009.21054600,16.53570524,2.58074128,0.72999780,7.90537591,0.70334958,40.29896219
50,152.51511442,24.39161922,5.05667808,-11.18092078,12.04028620,2.36949170,15.62729383,207.98592242,53.71506372,17.04285000,0.01100261,16.06136000,0.01573516,15.72104000,0.01734049,15.56360000,0.01070518,15.52418000,0.01183116,-147.20160000,2.07678500,3.54633800,0.05765428,6055.84600000,33.73993000,-1.77796600,0.01999037,1283.86478063,-0.67094485,-0.35653628,1.03490273,9.00477255,6.24358081,1.06299187,9.06729731,8.99771141,-0.35653628,1.06299187,121.57878146,-18.37610063,-110.12246402,-130.83447134,233.82389937,-101.20140335,-139.98993430,228.46026592,-101.20140335,389.64323618,2057.23273241,124.02839637,-135951.30543400,17.01610330,6.41634190,0.45235405,4.96685885,0.34360380,19.68704738
54,145.07170435,37.36783273,-58.92981476,-33.70035478,33.74741335,-58.90287830,16.29285880,186.18401034,48.76264137,18.13173000,0.01636545,16.88997000,0.01671361,16.37395000,0.01539532,16.15817000,0.01329025,16.03357000,0.01792887,218.01370000,1.31769800,4.45586700,0.07008051,5286.89500000,38.31822000,-1.48026600,0.04441752,1067.20059716,-0.69938371,-0.07577991,0.80251912,9.02719354,6.27479058,0.83069815,9.06533411,9.02687546,-0.07577991,0.83069815,-347.26406218,-209.35543235,-32.48696960,337.76377005,42.84456765,-22.10291920,337.39220467,45.67845836,-22.10291920,2178.95469825,412.34828397,64.23045522,-118990.71835600,28.53741295,0.89772722,0.93900303,6.47801376,0.68949197,39.50497962
55,154.51441650,42.70641758,-36.45829127,-33.59076846,41.44451723,-27.20107939,15.93037603,176.14948190,55.30465273,17.44585000,0.02069715,16.40211000,0.02102873,15.97519000,0.02325019,15.83284000,0.01728903,15.76553000,0.01814497,165.55660000,1.57648800,4.26826200,0.05300511,5751.44000000,4.41956600,-1.15597700,0.06052302,1321.41468994,-0.75046820,0.05051069,1.08645430,9.07721400,0.00556459,1.11479139,9.14541272,9.07707346,0.05051069,1.11479139,-251.23579585,-243.29150271,39.13028964,241.51243730,8.90849729,49.21426456,241.55827000,7.56444912,49.21426456,1372.05641160,68.66412349,27.07630560,-146058.56304700,16.35486479,0.62720813,0.92613291,5.60345182,1.27847846,73.25141993
59,124.95002827,33.39682646,-34.86194103,-21.00194131,12.35097299,-38.78001983,16.21038748,188.79062013,32.03398624,18.30328000,0.02440722,16.98879000,0.03066108,16.29048000,0.01933482,16.02538000,0.01976334,15.85445000,0.02045782,200.39370000,1.37542500,4.34534500,0.07522743,4969.16000000,75.10506000,-2.30438900,0.09531252,660.67409698,-0.55349666,-0.08559303,0.35043621,8.88281256,6.27354936,0.37816210,8.89085854,8.88240017,-0.08559303,0.37816210,-225.63928502,-74.03484970,3.33147224,216.02778761,178.16515030,13.33572887,214.30099421,180.23848003,13.33572887,699.97169612,1601.02463450,4.06402980,-139337.00440900,17.36736117,3.98073152,0.62706443,0.64619192,0.07925123,4.54076096
60,150.60546822,-0.67244726,20.25613565,-86.95179478,81.14066136,-37.24404275,15.14697171,240.29180966,40.79439393,16.57700000,0.02095590,15.62775000,0.01824743,15.23063000,0.01358684,15.06555000,0.01329848,15.00964000,0.01763452,-95.03643000,2.29574500,4.07506400,0.10435200,5969.25500000,41.88565000,-1.59011600,0.03834159,960.18763165,-0.36024842,-0.63137298,0.62733526,8.71119915,6.21064339,0.65445662,8.73574863,8.68828860,-0.63137298,0.65445662,301.55276544,-216.74352981,-190.43231605,-310.55691288,35.45647019,-182.07260497,-312.30996974,12.85457958,-182.07260497,1996.74805224,111.97880269,1014.86244439,-113894.76214600,31.26506204,2.31832218,0.86193636,30.36147742,1.46849921,84.13880692
61,115.32592238,27.75442539,9.09922567,-21.78549203,23.58122476,1.15300031,16.13154209,192.18358518,22.47997514,17.46711000,0.01567182,16.50445000,0.01440912,16.20071000,0.01184931,16.08094000,0.01316368,16.03759000,0.01786458,297.57620000,2.60982200,3.94274300,0.21958240,6335.04900000,56.27743000,-1.60952500,0.03428846,2180.74427447,-1.96965066,-0.42526292,0.83383050,10.30581633,6.24190923,0.86597418,10.34213525,10.29703849,-0.42526292,0.86597418,-212.86845491,-295.35408372,124.79510158,202.87790339,-43.15408372,134.75890581,204.48583053,-34.74570097,134.75890581,909.10623946,-358.08281247,619.26530597,-139644.61603800,17.67621341,2.48238754,0.75371430,15.67829422,1.92990679,110.57551366
62,218.09842741,29.98102690,41.74368704,-73.54561442,-74.33633950,-40.31874797,15.92790005,46.25638162,67.69380068,18.15811000,0.01742824,16.69298000,0.02585904,16.00315000,0.01577322,15.74169000,0.01606407,15.62603000,0.01927503,-141.43030000,1.31169900,4.61619100,0.07733416,4957.49200000,10.09943000,-1.47303600,0.02110915,673.24117717,0.17668378,0.18460744,0.62286164,8.15346316,0.02264353,0.64830713,8.17919700,8.15137298,0.18460744,0.64830713,216.59064929,-116.81391843,-179.68683767,-225.62874972,135.38608157,-171.06199235,-222.50555156,140.45997048,-171.06199235,841.04389373,1145.23519419,426.28433326,-133571.21428200,19.60739665,3.94685774,0.66487092,12.60634118,0.75654087,43.34659891
68,125.38745249,7.71819562,15.39352287,-36.49080798,39.53448774,-2.35879058,15.76032503,216.28288200,23.52411249,17.06408000,0.02289025,16.12309000,0.01272662,15.85974000,0.01294790,15.74059000,0.01589589,15.68058000,0.01903392,-135.40020000,1.89110100,4.07919700,0.15956080,6288.70900000,17.17024000,-1.60376300,0.03979081,1926.71104952,-1.42405426,-1.04541696,0.76901776,9.80752347,6.17638905,0.79945882,9.84005340,9.75164704,-1.04541696,0.79945882,306.82657531,-222.69723870,-73.79652716,-316.19474456,29.50276130,-65.45384502,-317.53808609,-4.36958766,-65.45384502,2260.84048159,-42.85483350,40.73129583,-120331.86327300,27.83625633,0.57182135,0.95974234,6.54545797,1.89971742,108.84579067
70,121.53651749,6.56384382,10.42941593,-21.56717705,23.95477613,-0.29076275,15.59824277,215.56793670,19.58830675,16.85457000,0.01351466,15.92438000,0.01251722,15.65415000,0.01320451,15.59477000,0.01260069,15.54792000,0.02021886,448.61550000,2.15740100,3.86393200,0.29823580,6299.88900000,65.10732000,-1.59654300,0.03143972,2133.42150258,-1.63494772,-1.16912427,0.71524940,10.03107114,6.16636952,0.74634897,10.05879839,9.96270729,-1.16912427,0.74634897,-203.68084364,-443.48121657,147.63209848,193.61905727,-191.28121657,157.56711479,214.59338459,-167.41123751,157.56711479,994.73264373,-1679.31403279,429.95388915,-122324.60920000,24.60512397,5.35694371,0.64241829,14.28015720,2.49168277,142.76290689
