group_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,l,b,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,Galdist,GalRecX,GalRecY,GalRecZ,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel,GalSphrVel,GalSphphiVel,GalSphithetaVel
S1,1386294909186680320,240.8013651743475,0.16607796597065208,44.857504579146855,0.18697608639981875,0.14540675064727646,0.20008141111220595,-19.05260640570483,0.3445777319822317,-8.473684232974964,0.4303319443539951,18.887463,19.178564,18.386164,0.79240036,70.933748948166,48.094087738746644,-436.8678,5.242813,4.418411,0.3319748,5780.105,76.63509,-1.268166,0.07487011,4862.52247364,8.573212621292686,7.120073548512893,3.086576577418442,3.6624408323432407,74.21739772906504,-395.69571369324916,-11.278404786741016,-90.48846118091444,-394.41072911682164,-11.278404786741016,-85.28872482890345,-394.41072911682164,-28.13983526251681
S1,1672441577660683648,204.9215312262551,0.13469235038507896,67.18125509549978,0.1250331620388799,0.4712262925606973,0.1493918968755128,-19.752017164593727,0.3057757574459424,-20.1306564459932,0.2396155707398651,18.175844,18.51624,17.61544,0.9007988000000001,115.79666778451868,49.273191185565274,-421.7244,3.994649,4.467816,0.01641853,5500.355,35.37511,-2.159151,0.08640912,2274.24749612,9.14519777185831,8.839381272924658,1.361794535100834,1.785972792265004,-89.92482441558403,-251.54010635375565,-133.7145185084113,-126.35268902746968,-235.44491686943388,-133.7145185084113,-149.8511260267352,-235.44491686943388,106.74507544105464
S2,754090394824095232,153.79242678271274,0.25041841221485506,36.713698938152056,0.2644933081048487,0.1444001869911392,0.26305183119283004,-1.2466208203827007,0.4507837189468085,-4.864110114628174,0.44140963579701264,18.807693,19.096943,18.29165,0.8052921,186.76365477448985,55.742772531850214,195.4897,7.4778970000000005,3.668054,0.5048068,6003.959,67.7627,-1.9923,0.04760279,4987.52736324,11.86186671628946,11.072037494073975,-0.33384687458661544,4.1982886419249095,99.16069604538245,114.46953006495664,159.29961693188034,95.86409665010564,117.10903683060167,159.29961693188034,146.1906746355949,117.10903683060167,-114.07840454574148
S2,2642356896607918336,358.7698696051654,0.1422938740846702,0.25947783927935564,0.07677848900941123,0.5069152355584801,0.16372298550448489,1.8477406149105184,0.3073701676493193,-9.399244039483266,0.15360419476378265,17.627213,17.846663,17.202923000000002,0.6437397,94.32100202471024,-59.44481984606799,154.5874,5.620024,3.6557209999999998,0.19485750000000002,6506.135,47.01804,-2.238317,0.02222127,4038.89931283,9.22372771770327,8.349459833491206,2.0086104598583123,-3.3846154656654885,-60.57742705097262,176.99410009504138,-217.72485652619912,-17.406145635476634,185.6284859364739,-217.72485652619912,64.13512882434236,185.6284859364739,207.88413458892109
S2,3810760040328898688,171.10836071386714,0.07540971115433785,2.0348157448772137,0.06667027505924626,0.27323446066254226,0.10709034812782127,-14.149032825797171,0.16241653104843806,-12.425538957055918,0.1195647245736137,16.788864,17.033575,16.367886,0.66568947,259.5337852359124,57.38297485614729,-164.7433,4.023445,3.927664,0.11254990000000001,6346.209,42.75724,-2.102521,0.03872295,2653.70938094,8.841946153202732,8.458024799265297,-1.3934866999654485,2.242178832633664,52.63353637965818,150.9382138618965,-255.6287500893702,27.807212716822235,157.24619551029537,-255.6287500893702,-37.60276217970994,157.24619551029537,254.68829733261538
S2,2426879826179674496,8.495736845336317,0.2668084524723928,-9.471688193561604,0.207714732785418,0.07264710798297606,0.3175738267696721,1.2212074631734668,0.6428159238934099,-10.294664433759925,0.4661593527848175,19.036312,19.164356,18.464659,0.6996975000000001,108.97622552808541,-71.86888830814006,218.8983,6.7816220000000005,3.9457699999999996,0.2736228,5574.265,70.81976,-1.854593,0.05092245,3784.69165667,9.39484777091382,8.607717406384435,1.1386251828187368,-3.6487396226703313,-65.60334046695698,146.6257182437605,-259.52474126544195,-45.641712277839105,153.68071118691097,-259.52474126544195,57.4206544921172,153.68071118691097,257.01477137473864
S2,3938302942474447616,197.42976268220974,0.1781919627642296,18.798327996538127,0.13968973175602853,0.14733481227239692,0.2355096746426035,-3.3236887221702625,0.460036679242705,-3.738449776460493,0.3064031006175039,18.651342,19.000961,18.11139,0.88957214,330.66076381639107,80.67013781484648,-251.0153,5.961722,4.751723,0.130512,5472.291,412.1064,-2.379286,0.21275329999999998,3364.01755333,8.433325015449073,7.687698154848226,-0.27397396391423384,3.4287347716646175,37.862794554270536,183.1801610119577,-245.91322899367714,31.24429206366301,184.12935356120022,-245.91322899367714,-71.98291989706271,184.12935356120022,236.06535591818715
S2,696358200345557504,143.25716669170524,0.1591915062452985,29.685705992736672,0.12345129162538533,0.1758502328084721,0.2328042047450844,-15.430889153921312,0.2885315970183375,-18.528648048746703,0.2164662258880502,18.16711,18.621603,17.497132999999998,1.1244698,197.38810141196998,46.6282168056883,-189.1722,2.510813,4.433629,0.07130559,4866.866,82.34439,-1.9440819999999999,0.02404893,1548.34650894,9.246908522859748,9.170039183588194,-0.2991313651931716,1.089671773248364,-78.5000653863342,154.08606357930242,-217.24239119687184,-83.36212305057282,151.4147894706308,-217.24239119687184,-109.25529278490359,151.4147894706308,205.8450592809391
S2,1289570016596552832,222.84392026099246,0.06338077338052495,33.23328327828178,0.0897771562797466,0.3350362376200204,0.12824650382954814,7.290061912609618,0.1280925059695348,-0.5160900085944164,0.18406433613123926,17.77665,18.176095999999998,17.20608,0.9700165000000001,53.56464833342718,63.46932507474365,-255.313,3.1730400000000003,3.964293,0.11194420000000001,5279.323,52.27541,-2.059831,0.06236197,1713.621521,7.9311641424212596,7.750385472317676,0.5783213671142958,1.4654202423761136,21.78346431044411,188.1199902027345,-246.0226183856649,35.130560750888975,186.04268917194142,-246.0226183856649,-10.232244369241773,186.04268917194142,248.0759947656849
S2,2642662526479396352,356.4697312592096,0.1905152700240147,-0.05143636429034471,0.11604053489217273,0.03504409047307655,0.2022721109598932,1.9019366423153592,0.44539054498588704,-7.64725136579752,0.22512352800555413,17.713835,17.967852,17.281605,0.6862469,90.06110493248688,-58.6749886111209,125.4117,5.864662,3.638735,0.1675416,6527.414000000001,42.39825,-1.987098,0.06270828,4436.91337429,9.314739738688512,8.195943262908795,2.286157594032792,-3.7293349465836387,-53.184191689481885,174.3706612453786,-182.4514103039312,-5.464277781665725,182.95798906065116,-182.4514103039312,67.95709232216424,182.95798906065116,169.2601474849809
