group_id,x,y,z,dx,dy,dz,vx,vy,vz,sigx,sigy,sigz,feh,dfeh,population,Psun
NCand13a,7.08209606,0.40835959,1.30002388,1.33563432,1.04936659,1.26205170,-12.10826773,162.54901166,143.77212117,41.54420346,24.53005969,19.43156309,-1.71292500,0.44874331,11.00000000,0.62483451
NCand13b,7.35148073,0.54968328,1.19106391,0.65605994,1.02195869,1.92303298,19.96745967,161.90680105,-119.73190496,30.99838915,15.25982546,37.85577479,-1.72639239,0.28403091,18.00000000,0.62483451
NCand14,11.40631975,-1.04193561,5.01282189,1.58865039,2.96021362,0.92151742,-4.49918403,205.44843649,16.47988736,46.77385680,16.74225796,76.54530957,-1.66364533,0.14027350,9.00000000,5.51191967
NCand15,8.89737843,-0.66576061,4.83189835,1.46666322,0.57150356,1.27774751,31.83534970,-285.03231435,51.30949310,50.72309981,42.94767205,195.36341007,-1.51016700,0.43935953,4.00000000,inf
NCand16,11.05915674,-0.29754473,1.87852261,3.00638743,1.27935516,4.04631978,-171.30983296,-4.17071037,-48.60383721,124.59101300,12.83113039,257.50169762,-1.91684500,0.52241902,5.00000000,0.54843957
NCand17,10.52793365,0.72912130,2.74024238,1.75112717,1.51463684,3.08250547,1.45462165,224.80904415,-18.89675091,86.32312718,29.00441158,95.54289592,-1.73711747,0.19957820,15.00000000,1.38798811
NCand18a,10.31048727,0.85675333,0.30141504,1.58467868,1.51350253,2.84364889,2.17560091,-49.30377719,-309.73226956,127.49774647,35.75027448,48.52385772,-2.22938109,0.15351866,11.00000000,0.50613173
NCand18b,10.32002895,-0.30077549,-0.58361185,1.97595595,0.28147884,2.55607151,-24.65391016,-14.05138089,327.37124552,67.71291287,7.43788682,39.66421803,-2.09990367,0.03683102,3.00000000,0.50613173
NCand19,8.53084654,0.17235030,2.17834945,1.56047659,2.28898024,3.32619076,14.87400023,-151.45370083,50.30421797,73.03074955,27.18743621,138.79580359,-1.91756109,0.23075244,23.00000000,0.50148519
NCand20a,8.04348682,0.11099190,1.77964942,0.85354007,0.75586627,3.33191139,-11.81637931,-140.80217341,-102.78198097,51.37984366,16.58985491,42.33488045,-2.04719156,0.21278661,9.00000000,0.36744993
NCand20b,8.99545595,0.69009250,1.11924578,1.15361046,0.80155994,2.88912018,-38.91420938,-134.74225043,113.79269722,41.42775481,13.89165349,16.67289005,-1.94284275,0.21356540,4.00000000,0.36744993
NCand21,9.07527451,0.35048641,2.55866657,1.98228518,2.39210729,2.96986419,-18.98028390,-105.84220209,19.18947766,93.46797487,24.68304624,200.56086886,-1.80992704,0.26435183,26.00000000,0.31778054
NCand22,9.65575505,-0.03051133,3.31096603,2.37090895,1.79224463,4.04291471,-14.29004369,-150.00338275,-18.92879779,105.62607120,43.10054434,134.27335140,-1.91368660,0.20388762,20.00000000,0.28863669
NCand23a,7.17550582,-0.14053283,4.75064971,2.07524163,1.70649591,2.56428941,-341.81359361,-44.80940987,-113.66117689,64.85186077,20.61322280,123.65676047,-1.37232263,0.12010286,8.00000000,1.29322243
NCand23b,8.32932325,-0.51861618,3.83192279,1.61388410,1.01915099,1.14460149,349.27969625,-29.56042888,104.81974778,40.64097902,17.88513216,105.03736445,-1.22977398,0.16096859,10.00000000,1.29322243
NCand24,10.31367377,0.27122061,1.81479428,2.47627217,1.44159390,2.45533928,14.61007802,222.92093465,-11.38989609,123.90664547,49.14125982,79.08921460,-1.79388307,0.21063240,15.00000000,0.44553809
NCand25,11.23220545,1.73801604,0.86533270,1.67567565,2.75042962,3.44303011,-94.95869636,199.41280136,-20.11021047,87.14812522,17.79714827,84.71314819,-1.41527325,0.07074422,8.00000000,1.80445604
NCand26a,9.51255393,-0.45431047,1.45401466,0.65096470,1.27650205,2.96045259,-31.32180176,183.71015722,-223.21389232,25.21062943,13.71881394,8.31903975,-1.50218100,0.08892469,3.00000000,0.75093069
NCand26b,10.31677529,0.96783649,3.96173430,2.18357238,1.70891924,5.39581784,34.84677739,182.79753191,136.30833031,81.49948100,35.27423026,62.09932289,-1.51464900,0.26796293,7.00000000,0.75093069
NCand27,7.53285937,0.50212127,2.42460100,1.38104227,1.59480234,2.27547429,-6.19164482,-128.00650059,-57.23490387,48.05476410,29.52015836,130.08604439,-2.01387141,0.17433296,17.00000000,0.33530644
NCand28a,8.96760806,-0.32832023,3.35266839,0.95014156,1.48515990,3.13569281,249.50417972,19.48866607,115.49680494,67.64355110,7.57922008,118.78507361,-1.33031950,0.14470030,8.00000000,0.90154303
NCand28b,9.40248629,1.06184038,1.59266060,1.79044541,2.22455252,3.98856209,-284.67426708,18.79458532,14.25061639,27.80582586,8.16997645,75.07883401,-1.36046284,0.26834581,12.00000000,0.90154303
NCand29,9.20059691,0.92832716,1.15596631,1.66253012,1.06192384,4.41332911,34.25429547,-286.88422964,-12.50922899,187.20138811,68.42213659,121.83778989,-1.78530032,0.46041562,14.00000000,0.72640697
